company,segment,emotion_score,emotional_entry_count,average_sentiment_score,sentiment_entry_count,percentage_difference,starting_time
facebook1,output088,-1.0,5.0,-0.2554372350374858,6.0,-0.0146444514516079,11:13:39
facebook1,output089,0.0,1.0,0.3158421834309895,15.0,-0.0149257004190322,11:14:39
facebook1,output090,,,-0.2297778450525724,13.0,-0.0048094907050712,11:15:39
facebook1,output091,,,-0.7409608960151672,8.0,-0.1326217331955784,11:16:39
facebook1,output092,,,-0.3197103937466939,9.0,-0.0697645087202925,11:17:39
facebook1,output093,-1.0,1.0,0.0015020923955099,14.0,0.0551412374046614,11:18:39
facebook1,output094,-0.9285714285714286,28.0,-0.3976306021213531,10.0,-0.0424792790901413,11:19:39
facebook1,output095,-1.0,18.0,-0.3795794427394867,10.0,0.0477361694268089,11:20:39
facebook1,output096,-0.8823529411764706,17.0,0.0675561957889133,9.0,0.0242473392696142,11:21:39
facebook1,output097,,,0.1258563473820686,16.0,-0.1035306479930572,11:22:39
facebook1,output098,,,-0.4626445445147427,11.0,0.0441409596943359,11:23:39
facebook1,output099,,,-0.5566044251124064,9.0,-0.0192523736407802,11:24:39
facebook1,output100,,,0.0136289190162312,22.0,0.0823935486807184,11:25:39
facebook1,output101,,,-0.1254359483718872,7.0,-0.0254453284277548,11:26:39
facebook1,output102,-1.0,2.0,0.4164543923209695,17.0,0.0864784511010787,11:27:39
facebook1,output103,-0.6666666666666666,3.0,0.3992300714765276,7.0,-0.0515884455214369,11:28:39
facebook1,output104,-0.625,8.0,0.6279919445514679,6.0,-0.050389475177685,11:29:39
facebook1,output105,-1.0,3.0,0.0148753821849822,8.0,-0.0144138600939892,11:30:39
facebook1,output106,-0.6,5.0,-0.7417108789086342,8.0,0.1116774224022451,11:31:39
facebook1,output107,,,0.3837128579616546,16.0,0.0093212341159151,11:32:39
facebook1,output108,,,0.7402456104755402,10.0,-0.0581242354483042,11:33:39
facebook1,output109,,,0.441157443182809,7.0,-0.0434526613286496,11:34:39
facebook1,output110,,,0.0386482377847035,12.0,-0.0103748282144559,11:35:39
facebook1,output111,,,0.4322715853822642,29.0,-0.0158030114630193,11:36:39
facebook1,output112,,,-0.0814456452022899,11.0,0.0072827164909886,11:37:39
facebook1,output113,-1.0,1.0,-0.1469744245211283,9.0,0.1642204862735293,11:38:39
facebook1,output114,-0.7727272727272727,22.0,-0.66169273853302,6.0,0.1213436916109457,11:39:39
facebook1,output115,-1.0,3.0,-0.36005414383752,7.0,-0.1091554442417367,11:40:39
facebook1,output116,,,0.681825210650762,12.0,0.1474716061334365,11:41:39
facebook1,output117,-0.8666666666666667,15.0,-0.1508974943842206,7.0,-0.1175358490970753,11:42:39
facebook1,output118,-0.8947368421052632,19.0,-0.6356330778863695,9.0,0.072222290771198,11:43:39
